"age","gender","mother.tongue","genre","amazement","solemnity","tenderness","nostalgia","calmness","power","joyful_activation","tension","sadness","liked","disliked","emotional_intensity","positive_score","negative_score","emotion_direction","sentiment_score","age_group"
15,"Male","English","electronic",0,1,0,0,0,1,1,0,0,1,0,3,3,0,"Positive",3,"13-18"
24,"Female","English","rock",0,0,0,0,1,0,0,0,0,0,1,1,1,0,"Positive",1,"19-25"
45,"Male","English","rock",0,0,0,1,0,0,0,0,0,0,1,1,1,0,"Positive",1,"36-50"
21,"Male","Dutch","electronic",0,0,0,0,0,0,0,1,0,0,1,1,0,1,"Negative",-1,"19-25"
29,"Male","Hebrew","pop",0,1,0,0,0,1,0,0,0,1,0,2,2,0,"Positive",2,"26-35"
17,"Male","English","rock",0,0,1,1,1,0,0,0,0,1,0,3,3,0,"Positive",3,"13-18"
45,"Male","Greek","classical",0,1,0,0,0,0,0,0,0,1,0,1,1,0,"Positive",1,"36-50"
20,"Female","English","pop",0,0,0,0,0,0,1,0,0,1,0,1,1,0,"Positive",1,"19-25"
38,"Male","Danish","classical",0,0,0,0,1,0,0,0,0,1,0,1,1,0,"Positive",1,"36-50"
38,"Male","Danish","classical",1,0,0,0,0,0,1,0,0,1,0,2,2,0,"Positive",2,"36-50"
44,"Female","French","classical",1,0,1,0,0,0,1,0,0,0,1,3,3,0,"Positive",3,"36-50"
24,"Male","English","rock",1,1,0,0,0,0,0,1,0,1,0,3,2,1,"Positive",1,"19-25"
64,"Male","English","rock",0,0,1,0,0,0,0,1,0,1,0,2,1,1,"Neutral/Mixed",0,"50+"
25,"Female","English","electronic",0,1,0,0,0,1,0,0,0,1,0,2,2,0,"Positive",2,"19-25"
23,"Male","French","classical",0,1,0,0,0,1,0,0,0,1,0,2,2,0,"Positive",2,"19-25"
22,"Female","German","classical",0,0,0,0,0,0,0,0,1,0,1,1,0,1,"Negative",-1,"19-25"
51,"Male","English","pop",0,0,0,0,0,1,0,0,0,1,0,1,1,0,"Positive",1,"50+"
26,"Female","Hungarian","electronic",0,0,0,1,1,0,0,0,0,1,0,2,2,0,"Positive",2,"26-35"
32,"Male","Greek","rock",0,0,0,0,0,0,0,0,1,0,1,1,0,1,"Negative",-1,"26-35"
23,"Female","Dutch","pop",0,0,1,0,0,0,0,0,0,1,0,1,1,0,"Positive",1,"19-25"
26,"Male","Dutch","classical",0,1,0,0,0,0,1,0,0,1,0,2,2,0,"Positive",2,"26-35"
32,"Male","English","classical",0,0,0,0,1,0,0,0,0,1,0,1,1,0,"Positive",1,"26-35"
20,"Male","Dutch","electronic",0,0,0,0,1,0,0,0,0,0,1,1,1,0,"Positive",1,"19-25"
31,"Male","English","rock",0,0,0,0,1,0,0,0,0,0,1,1,1,0,"Positive",1,"26-35"
36,"Female","English","rock",0,0,0,0,0,1,1,0,0,1,0,2,2,0,"Positive",2,"36-50"
33,"Male","Hungarian","pop",0,0,1,1,0,0,0,0,1,1,0,3,2,1,"Positive",1,"26-35"
23,"Female","English","rock",0,0,0,0,0,0,0,1,0,0,1,1,0,1,"Negative",-1,"19-25"
21,"Female","Estonian","rock",0,0,0,0,0,0,0,0,1,1,0,1,0,1,"Negative",-1,"19-25"
26,"Female","French","rock",0,0,0,0,0,1,1,0,0,1,0,2,2,0,"Positive",2,"26-35"
32,"Male","Greek","pop",0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Neutral/Mixed",0,"26-35"
21,"Female","Dutch","rock",0,0,0,0,0,0,1,0,0,1,0,1,1,0,"Positive",1,"19-25"
19,"Male","English","classical",0,0,0,0,0,0,0,1,0,0,1,1,0,1,"Negative",-1,"19-25"
36,"Male","English","electronic",0,0,0,1,1,0,0,0,0,1,0,2,2,0,"Positive",2,"36-50"
27,"Male","Russian","electronic",0,0,0,0,0,1,0,0,0,1,0,1,1,0,"Positive",1,"26-35"
24,"Male","French","electronic",0,0,0,0,0,0,0,1,0,1,0,1,0,1,"Negative",-1,"19-25"
41,"Female","Dutch","classical",0,0,1,0,0,0,1,1,0,1,0,3,2,1,"Positive",1,"36-50"
21,"Female","Estonian","electronic",0,0,0,1,0,0,0,0,0,0,1,1,1,0,"Positive",1,"19-25"
53,"Female","English","electronic",0,0,0,0,0,1,0,0,0,1,0,1,1,0,"Positive",1,"50+"
43,"Female","Dutch","rock",0,0,0,0,0,0,0,1,1,0,1,2,0,2,"Negative",-2,"36-50"
21,"Female","English","electronic",0,0,0,0,0,1,0,1,0,1,0,2,1,1,"Neutral/Mixed",0,"19-25"
38,"Male","Dutch","rock",0,0,0,0,0,0,1,0,0,1,0,1,1,0,"Positive",1,"36-50"
39,"Male","Catalan","pop",0,0,0,1,0,0,0,1,1,0,1,3,1,2,"Negative",-1,"36-50"
27,"Male","Catalan","pop",0,0,0,0,1,0,0,0,0,1,0,1,1,0,"Positive",1,"26-35"
29,"Male","Italian","rock",0,0,0,0,0,0,0,1,0,0,1,1,0,1,"Negative",-1,"26-35"
60,"Male","Dutch","pop",0,0,0,0,0,0,0,0,1,0,1,1,0,1,"Negative",-1,"50+"
35,"Male","Icelandic","electronic",0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Neutral/Mixed",0,"26-35"
25,"Male","English","pop",0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Neutral/Mixed",0,"19-25"
21,"Female","English","electronic",0,0,0,0,1,0,1,0,0,1,0,2,2,0,"Positive",2,"19-25"
63,"Male","Dutch","pop",0,0,1,0,0,0,0,0,0,1,0,1,1,0,"Positive",1,"50+"
25,"Female","English","classical",1,0,0,0,0,0,1,0,0,1,0,2,2,0,"Positive",2,"19-25"
23,"Male","English","rock",0,0,0,1,0,0,0,0,0,1,0,1,1,0,"Positive",1,"19-25"
31,"Female","Dutch","rock",0,0,0,0,0,0,1,0,0,0,1,1,1,0,"Positive",1,"26-35"
22,"Male","English","pop",0,0,1,0,0,0,0,0,0,1,0,1,1,0,"Positive",1,"19-25"
47,"Male","Russian","electronic",0,0,0,0,0,0,0,1,0,0,1,1,0,1,"Negative",-1,"36-50"
55,"Female","Italian","electronic",0,1,0,0,0,0,0,0,0,0,1,1,1,0,"Positive",1,"50+"
48,"Male","Dutch","electronic",1,0,0,1,0,0,1,0,0,1,0,3,3,0,"Positive",3,"36-50"
21,"Female","English","classical",0,0,1,0,0,0,1,0,0,1,0,2,2,0,"Positive",2,"19-25"
20,"Male","Chinese","pop",0,0,0,1,0,0,1,0,0,1,0,2,2,0,"Positive",2,"19-25"
30,"Female","German","rock",0,0,0,0,0,1,1,0,0,1,0,2,2,0,"Positive",2,"26-35"
23,"Male","English","classical",0,0,0,1,1,0,0,0,0,0,1,2,2,0,"Positive",2,"19-25"
24,"Male","Chinese","classical",1,0,0,0,0,1,1,0,0,1,0,3,3,0,"Positive",3,"19-25"
31,"Male","Spanish","rock",0,0,0,0,0,0,1,0,0,1,0,1,1,0,"Positive",1,"26-35"
34,"Male","English","rock",0,0,0,0,1,0,0,0,0,1,0,1,1,0,"Positive",1,"26-35"
34,"Male","Spanish","electronic",0,0,1,1,1,0,0,0,0,1,0,3,3,0,"Positive",3,"26-35"
28,"Male","Dutch","rock",0,1,0,0,1,1,0,0,0,1,0,3,3,0,"Positive",3,"26-35"
19,"Male","English","pop",0,0,1,0,0,0,0,0,0,0,1,1,1,0,"Positive",1,"19-25"
31,"Male","English","classical",0,0,0,0,1,0,0,0,0,1,0,1,1,0,"Positive",1,"26-35"
20,"Female","Spanish","electronic",0,0,0,0,1,0,0,0,0,1,0,1,1,0,"Positive",1,"19-25"
29,"Female","Dutch","classical",0,0,0,0,0,0,1,0,0,0,1,1,1,0,"Positive",1,"26-35"
32,"Female","English","classical",0,0,0,1,0,0,0,1,0,0,1,2,1,1,"Neutral/Mixed",0,"26-35"
26,"Female","Dutch","classical",0,0,0,1,1,0,0,0,0,1,0,2,2,0,"Positive",2,"26-35"
34,"Male","Dutch","rock",0,0,0,0,0,1,0,0,1,1,0,2,1,1,"Neutral/Mixed",0,"26-35"
47,"Female","Dutch","rock",0,0,1,1,0,0,0,0,1,1,0,3,2,1,"Positive",1,"36-50"
47,"Female","Dutch","rock",0,1,1,0,0,0,1,0,0,1,0,3,3,0,"Positive",3,"36-50"
28,"Female","English","classical",1,0,0,0,0,0,1,0,0,0,1,2,2,0,"Positive",2,"26-35"
30,"Male","Dutch","pop",0,0,0,0,0,0,0,0,1,0,1,1,0,1,"Negative",-1,"26-35"
30,"Female","English","classical",0,0,1,1,1,0,0,0,0,1,0,3,3,0,"Positive",3,"26-35"
21,"Female","English","classical",0,0,0,0,0,0,1,1,0,1,0,2,1,1,"Neutral/Mixed",0,"19-25"
25,"Female","Russian","electronic",0,0,0,0,0,0,1,1,0,1,0,2,1,1,"Neutral/Mixed",0,"19-25"
22,"Male","Dutch","rock",0,0,0,1,1,0,0,0,0,1,0,2,2,0,"Positive",2,"19-25"
37,"Female","Chinese","electronic",1,0,0,0,0,0,1,0,0,0,1,2,2,0,"Positive",2,"36-50"
16,"Female","Russian","rock",0,0,1,0,0,0,0,0,0,1,0,1,1,0,"Positive",1,"13-18"
17,"Female","Russian","rock",0,0,0,0,0,1,1,1,0,1,0,3,2,1,"Positive",1,"13-18"
60,"Male","English","classical",1,0,0,0,0,0,1,0,0,1,0,2,2,0,"Positive",2,"50+"
32,"Male","Russian","rock",0,0,0,0,0,0,0,1,1,0,1,2,0,2,"Negative",-2,"26-35"
56,"Male","English","classical",0,0,0,0,0,0,1,0,0,1,0,1,1,0,"Positive",1,"50+"
36,"Male","Italian","classical",0,0,0,1,0,0,0,0,0,1,0,1,1,0,"Positive",1,"36-50"
21,"Male","Dutch","rock",0,0,0,1,0,0,0,0,1,0,1,2,1,1,"Neutral/Mixed",0,"19-25"
39,"Male","English","electronic",0,0,0,0,0,0,0,1,0,0,1,1,0,1,"Negative",-1,"36-50"
23,"Female","Russian","pop",0,0,1,1,1,0,0,0,0,1,0,3,3,0,"Positive",3,"19-25"
20,"Male","English","rock",0,1,0,0,0,1,1,0,0,0,1,3,3,0,"Positive",3,"19-25"
42,"Female","Tamil","classical",1,0,0,0,0,0,1,0,0,1,0,2,2,0,"Positive",2,"36-50"
22,"Male","English","electronic",0,1,0,0,1,0,0,0,0,1,0,2,2,0,"Positive",2,"19-25"
69,"Female","German","pop",0,0,0,0,0,1,1,0,0,0,1,2,2,0,"Positive",2,"50+"
30,"Male","Greek","electronic",0,0,0,0,0,0,1,1,1,1,0,3,1,2,"Negative",-1,"26-35"
43,"Female","English","electronic",1,1,0,0,0,0,1,0,0,1,0,3,3,0,"Positive",3,"36-50"
37,"Male","Dutch","electronic",0,0,1,0,1,0,0,0,1,1,0,3,2,1,"Positive",1,"36-50"
51,"Male","English","classical",0,0,1,1,0,0,1,0,0,1,0,3,3,0,"Positive",3,"50+"
27,"Female","Russian","classical",0,0,1,0,0,0,0,0,0,1,0,1,1,0,"Positive",1,"26-35"
59,"Female","Russian","classical",0,1,0,0,0,0,0,0,0,1,0,1,1,0,"Positive",1,"50+"
48,"Male","German","classical",0,1,0,1,0,0,0,0,1,1,0,3,2,1,"Positive",1,"36-50"
26,"Male","English","electronic",0,1,0,0,0,1,1,0,0,1,0,3,3,0,"Positive",3,"26-35"
28,"Male","English","electronic",0,1,0,0,0,0,0,0,0,1,0,1,1,0,"Positive",1,"26-35"
21,"Male","English","electronic",1,0,0,0,1,0,1,0,0,1,0,3,3,0,"Positive",3,"19-25"
26,"Female","Czech","electronic",0,0,0,0,0,0,1,0,0,1,0,1,1,0,"Positive",1,"26-35"
23,"Male","Russian","rock",0,0,0,0,0,1,0,0,0,1,0,1,1,0,"Positive",1,"19-25"
33,"Male","Russian","classical",0,0,0,1,0,0,0,0,0,1,0,1,1,0,"Positive",1,"26-35"
45,"Female","Polish","rock",0,0,0,0,0,0,1,0,0,1,0,1,1,0,"Positive",1,"36-50"
29,"Male","English","electronic",0,0,0,0,1,0,0,0,0,1,0,1,1,0,"Positive",1,"26-35"
45,"Female","English","classical",0,0,0,1,0,0,0,0,1,1,0,2,1,1,"Neutral/Mixed",0,"36-50"
14,"Female","Russian","electronic",0,0,0,0,0,0,0,0,1,0,1,1,0,1,"Negative",-1,"13-18"
35,"Male","Dutch","rock",0,1,0,0,0,0,0,0,1,0,1,2,1,1,"Neutral/Mixed",0,"26-35"
44,"Male","English","classical",1,0,0,0,0,0,1,0,0,1,0,2,2,0,"Positive",2,"36-50"
63,"Male","Dutch","classical",0,0,0,0,0,0,1,0,0,1,0,1,1,0,"Positive",1,"50+"
32,"Female","Italian","pop",0,0,0,1,1,0,0,0,0,1,0,2,2,0,"Positive",2,"26-35"
63,"Male","Dutch","classical",0,0,0,0,1,1,0,0,1,1,0,3,2,1,"Positive",1,"50+"
20,"Female","German","rock",0,0,0,0,0,1,0,0,0,1,0,1,1,0,"Positive",1,"19-25"
20,"Male","English","rock",0,0,0,0,1,0,0,0,0,1,0,1,1,0,"Positive",1,"19-25"
31,"Male","German","pop",0,0,0,0,0,1,0,0,0,0,1,1,1,0,"Positive",1,"26-35"
33,"Male","Dutch","electronic",0,0,0,0,0,1,1,0,0,1,0,2,2,0,"Positive",2,"26-35"
14,"Female","Russian","pop",0,0,1,0,0,0,0,0,0,0,1,1,1,0,"Positive",1,"13-18"
28,"Male","English","rock",0,0,0,0,0,0,0,1,0,0,1,1,0,1,"Negative",-1,"26-35"
16,"Male","English","pop",1,0,0,0,1,0,1,0,0,1,0,3,3,0,"Positive",3,"13-18"
21,"Male","Dutch","electronic",0,1,0,0,1,0,0,0,0,1,0,2,2,0,"Positive",2,"19-25"
28,"Male","Russian","electronic",0,1,0,0,1,0,0,0,1,1,0,3,2,1,"Positive",1,"26-35"
25,"Female","Russian","electronic",0,0,0,0,0,0,1,1,0,0,1,2,1,1,"Neutral/Mixed",0,"19-25"
17,"Female","Finnish","electronic",0,0,0,1,0,0,0,1,1,1,0,3,1,2,"Negative",-1,"13-18"
30,"Male","Hebrew","rock",0,0,0,0,0,0,0,0,1,0,1,1,0,1,"Negative",-1,"26-35"
25,"Male","Russian","classical",0,0,0,0,1,0,0,0,0,1,0,1,1,0,"Positive",1,"19-25"
19,"Female","Macedonian","electronic",0,0,0,0,0,1,1,0,0,1,0,2,2,0,"Positive",2,"19-25"
23,"Male","Bengali","rock",0,0,0,1,0,0,1,0,1,1,0,3,2,1,"Positive",1,"19-25"
16,"Female","Russian","rock",0,0,0,0,0,1,0,0,0,1,0,1,1,0,"Positive",1,"13-18"
25,"Male","French","rock",0,0,1,1,0,0,0,0,1,1,0,3,2,1,"Positive",1,"19-25"
22,"Male","Polish","electronic",0,0,0,0,0,0,0,1,0,0,1,1,0,1,"Negative",-1,"19-25"
24,"Female","English","pop",0,0,0,1,0,0,0,0,1,0,1,2,1,1,"Neutral/Mixed",0,"19-25"
20,"Female","German","pop",1,0,0,0,0,0,0,1,0,1,0,2,1,1,"Neutral/Mixed",0,"19-25"
37,"Male","Dutch","pop",0,1,0,1,0,0,0,1,0,0,1,3,2,1,"Positive",1,"36-50"
24,"Female","Russian","rock",0,0,0,0,1,0,0,0,1,1,0,2,1,1,"Neutral/Mixed",0,"19-25"
40,"Female","Dutch","classical",0,0,1,1,0,0,0,1,0,1,0,3,2,1,"Positive",1,"36-50"
37,"Male","Dutch","pop",0,1,0,1,0,0,0,0,1,0,1,3,2,1,"Positive",1,"36-50"
21,"Female","English","classical",0,1,0,0,0,1,0,1,0,1,0,3,2,1,"Positive",1,"19-25"
41,"Female","Russian","classical",1,1,0,0,0,0,1,0,0,1,0,3,3,0,"Positive",3,"36-50"
25,"Female","Estonian","classical",0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Neutral/Mixed",0,"19-25"
26,"Male","English","electronic",0,0,0,0,1,1,0,1,0,1,0,3,2,1,"Positive",1,"26-35"
38,"Male","English","electronic",0,1,0,0,0,1,0,0,0,1,0,2,2,0,"Positive",2,"36-50"
17,"Male","English","pop",0,1,1,0,1,0,0,0,0,1,0,3,3,0,"Positive",3,"13-18"
22,"Male","English","rock",0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Neutral/Mixed",0,"19-25"
18,"Female","Russian","pop",1,0,0,0,0,0,0,1,0,0,1,2,1,1,"Neutral/Mixed",0,"13-18"
25,"Female","Dutch","electronic",1,0,0,0,0,0,1,1,0,1,0,3,2,1,"Positive",1,"19-25"
42,"Male","English","pop",0,0,0,0,0,0,0,0,1,0,1,1,0,1,"Negative",-1,"36-50"
23,"Male","English","electronic",1,0,0,0,0,1,1,0,0,1,0,3,3,0,"Positive",3,"19-25"
21,"Male","Russian","classical",1,0,0,1,1,0,0,0,0,1,0,3,3,0,"Positive",3,"19-25"
24,"Male","Spanish","electronic",0,0,0,0,0,0,1,0,0,1,0,1,1,0,"Positive",1,"19-25"
20,"Male","Dutch","pop",0,0,0,1,0,0,0,0,0,0,1,1,1,0,"Positive",1,"19-25"
23,"Male","Ucrainian","classical",0,0,0,1,0,0,0,0,0,1,0,1,1,0,"Positive",1,"19-25"
27,"Female","German","rock",0,0,1,0,1,0,0,0,1,1,0,3,2,1,"Positive",1,"26-35"
43,"Male","Dutch","classical",0,0,0,0,0,0,1,1,0,1,0,2,1,1,"Neutral/Mixed",0,"36-50"
18,"Male","English","electronic",0,1,0,0,1,0,0,0,0,1,0,2,2,0,"Positive",2,"13-18"
42,"Male","Dutch","pop",1,0,0,0,1,0,0,0,0,0,1,2,2,0,"Positive",2,"36-50"
25,"Male","Dutch","electronic",0,0,0,1,1,0,0,0,1,1,0,3,2,1,"Positive",1,"19-25"
20,"Female","Russian","electronic",0,0,0,0,0,0,0,1,0,0,1,1,0,1,"Negative",-1,"19-25"
32,"Male","Dutch","electronic",0,0,0,0,0,0,0,1,0,0,1,1,0,1,"Negative",-1,"26-35"
21,"Male","Dutch","classical",0,0,1,0,0,0,0,0,0,1,0,1,1,0,"Positive",1,"19-25"
26,"Female","English","rock",0,0,0,1,0,1,0,0,0,1,0,2,2,0,"Positive",2,"26-35"
26,"Female","Russian","classical",0,0,1,0,1,0,1,0,0,1,0,3,3,0,"Positive",3,"26-35"
56,"Male","English","classical",0,1,0,1,0,0,0,0,1,1,0,3,2,1,"Positive",1,"50+"
24,"Female","Dutch","rock",0,0,0,0,0,0,0,1,1,0,1,2,0,2,"Negative",-2,"19-25"
21,"Female","English","pop",0,1,0,1,0,0,1,0,0,1,0,3,3,0,"Positive",3,"19-25"
17,"Female","French","pop",0,0,0,1,1,0,1,0,0,1,0,3,3,0,"Positive",3,"13-18"
29,"Male","Portuguese","pop",0,0,0,0,1,0,0,0,0,1,0,1,1,0,"Positive",1,"26-35"
24,"Female","Russian","classical",0,0,0,0,0,1,1,1,0,1,0,3,2,1,"Positive",1,"19-25"
46,"Female","English","classical",0,0,0,0,0,0,1,0,0,1,0,1,1,0,"Positive",1,"36-50"
60,"Male","English","rock",0,0,0,1,0,0,0,0,0,1,0,1,1,0,"Positive",1,"50+"
15,"Male","English","electronic",0,0,0,0,0,1,0,1,1,1,0,3,1,2,"Negative",-1,"13-18"
48,"Male","Dutch","electronic",0,0,0,0,0,1,1,1,0,1,0,3,2,1,"Positive",1,"36-50"
28,"Female","English","rock",0,0,0,0,0,0,0,1,0,0,1,1,0,1,"Negative",-1,"26-35"
23,"Male","Russian","pop",0,0,0,0,0,1,0,0,0,1,0,1,1,0,"Positive",1,"19-25"
32,"Female","English","classical",0,1,1,0,0,0,1,0,0,1,0,3,3,0,"Positive",3,"26-35"
23,"Female","Dutch","rock",0,0,0,0,0,0,0,1,0,0,1,1,0,1,"Negative",-1,"19-25"
29,"Female","Greek","rock",0,0,0,0,0,1,1,0,0,1,0,2,2,0,"Positive",2,"26-35"
26,"Male","Russian","rock",0,0,0,0,0,1,0,0,0,1,0,1,1,0,"Positive",1,"26-35"
26,"Male","English","rock",0,0,0,0,0,0,0,1,0,0,1,1,0,1,"Negative",-1,"26-35"
