"activity","emotional_intensity","emotional_intensity_original","satisfaction","satisfaction_binary","gender","age_group","emotional_group"
"Social Media",-0.923811433944627,1,4.7752808988764,0,"Female","19-25","Low"
"Social Media",-0.923811433944627,1,2.94943820224719,0,"Female","26-35","Low"
"Social Media",3.78550768556919,3,6.65730337078652,1,"Male","50+","High"
"Social Media",-0.923811433944627,1,4.01685393258427,0,"Female","26-35","Low"
"Social Media",0.253518345933827,1.5,5.56179775280899,1,"Female","26-35","Low"
"Social Media",-0.923811433944627,1,6.01123595505618,1,"Male","26-35","Low"
"Social Media",1.43084812581228,2,4.49438202247191,0,"Female","19-25","High"
"Social Media",0.253518345933827,1.5,6.03932584269663,1,"Female","19-25","Low"
"Social Media",-0.923811433944627,1,3.45505617977528,0,"Male","19-25","Low"
"Social Media",-0.923811433944627,1,6.60112359550562,1,"Male","26-35","Low"
"Social Media",-0.923811433944627,1,5.2247191011236,1,"Male","19-25","Low"
"Social Media",-0.923811433944627,1,5.50561797752809,1,"Female","13-18","Low"
"Social Media",0.253518345933827,1.5,5,1,"Male","19-25","Low"
"Social Media",1.43084812581228,2,4.97191011235955,0,"Male","13-18","High"
"Social Media",0.253518345933827,1.5,4.66292134831461,0,"Female","26-35","Low"
"Social Media",-0.923811433944627,1,4.55056179775281,0,"Female","19-25","Low"
"Social Media",-0.923811433944627,1,4.15730337078652,0,"Male","26-35","Low"
"Social Media",2.60817790569074,2.5,5.47752808988764,1,"Male","26-35","High"
"Social Media",-0.923811433944627,1,3.08988764044944,0,"Female","26-35","Low"
"Social Media",2.60817790569074,2.5,5.56179775280899,1,"Male","19-25","High"
"Social Media",-0.923811433944627,1,4.35393258426966,0,"Male","13-18","Low"
"Social Media",-0.923811433944627,1,4.35393258426966,0,"Female","50+","Low"
"Social Media",1.43084812581228,2,4.85955056179775,0,"Male","13-18","High"
"Social Media",0.253518345933827,1.5,3.90449438202247,0,"Male","50+","Low"
"Social Media",-0.923811433944627,1,5.98314606741573,1,"Male","13-18","Low"
"Social Media",0.253518345933827,1.5,5.44943820224719,1,"Female","19-25","Low"
"Social Media",-0.923811433944627,1,5.81460674157303,1,"Male","36-50","Low"
"Social Media",-0.923811433944627,1,4.60674157303371,0,"Male","19-25","Low"
"Social Media",0.253518345933827,1.5,6.93820224719101,1,"Female","19-25","Low"
"Social Media",-0.923811433944627,1,4.71910112359551,0,"Female","26-35","Low"
"Social Media",0.253518345933827,1.5,4.85955056179775,0,"Female","26-35","Low"
"Social Media",-0.923811433944627,1,4.7752808988764,0,"Female","19-25","Low"
"Social Media",0.253518345933827,1.5,1.91011235955056,0,"Female","26-35","Low"
"Social Media",0.253518345933827,1.5,6.09550561797753,1,"Female","26-35","Low"
"Social Media",1.43084812581228,2,2.6123595505618,0,"Female","26-35","High"
"Social Media",1.43084812581228,2,4.12921348314607,0,"Female","50+","High"
"Social Media",0.253518345933827,1.5,5.36516853932584,1,"Female","36-50","Low"
"Social Media",0.253518345933827,1.5,4.97191011235955,0,"Female","13-18","Low"
"Social Media",-0.923811433944627,1,3.73595505617978,0,"Male","26-35","Low"
"Social Media",-0.923811433944627,1,3.17415730337079,0,"Male","26-35","Low"
"Social Media",-0.923811433944627,1,6.57303370786517,1,"Male","50+","Low"
"Social Media",-0.923811433944627,1,4.43820224719101,0,"Female","26-35","Low"
"Social Media",0.253518345933827,1.5,3.98876404494382,0,"Male","13-18","Low"
"Social Media",-0.923811433944627,1,5.92696629213483,1,"Female","19-25","Low"
"Social Media",0.253518345933827,1.5,4.07303370786517,0,"Male","19-25","Low"
"Social Media",1.43084812581228,2,6.20786516853933,1,"Female","19-25","High"
"Social Media",-0.923811433944627,1,4.74719101123596,0,"Female","26-35","Low"
"Social Media",-0.923811433944627,1,5.33707865168539,1,"Male","26-35","Low"
"Social Media",-0.923811433944627,1,4.97191011235955,0,"Male","36-50","Low"
"Social Media",0.253518345933827,1.5,6.15168539325843,1,"Male","13-18","Low"
"Social Media",1.43084812581228,2,5.67415730337079,1,"Male","19-25","High"
"Social Media",0.253518345933827,1.5,3.79213483146067,0,"Male","36-50","Low"
"Social Media",-0.923811433944627,1,5.95505617977528,1,"Female","26-35","Low"
"Social Media",0.253518345933827,1.5,5.87078651685393,1,"Female","13-18","Low"
"Social Media",2.60817790569074,2.5,5,1,"Male","50+","High"
"Social Media",-0.923811433944627,1,3.73595505617978,0,"Female","19-25","Low"
"Social Media",0.253518345933827,1.5,4.55056179775281,0,"Female","19-25","Low"
"Social Media",0.253518345933827,1.5,7.07865168539326,1,"Male","13-18","Low"
"Social Media",-0.923811433944627,1,4.10112359550562,0,"Male","26-35","Low"
"Social Media",0.253518345933827,1.5,4.85955056179775,0,"Male","26-35","Low"
"Social Media",0.253518345933827,1.5,3.62359550561798,0,"Female","26-35","Low"
"Social Media",0.253518345933827,1.5,6.48876404494382,1,"Female","13-18","Low"
"Social Media",-0.923811433944627,1,5.89887640449438,1,"Female","26-35","Low"
"Social Media",0.253518345933827,1.5,3.25842696629214,0,"Female","13-18","Low"
"Social Media",-0.923811433944627,1,3.84831460674157,0,"Male","26-35","Low"
"Social Media",1.43084812581228,2,5.70224719101124,1,"Male","26-35","High"
"Social Media",-0.923811433944627,1,3.67977528089888,0,"Female","13-18","Low"
"Social Media",-0.923811433944627,1,5.14044943820225,1,"Male","19-25","Low"
"Social Media",0.253518345933827,1.5,5.84269662921348,1,"Male","19-25","Low"
"Social Media",0.253518345933827,1.5,3.34269662921348,0,"Male","26-35","Low"
"Social Media",1.43084812581228,2,3.39887640449438,0,"Female","26-35","High"
"Social Media",-0.923811433944627,1,5.84269662921348,1,"Female","19-25","Low"
"Social Media",-0.923811433944627,1,4.57865168539326,0,"Male","26-35","Low"
"Social Media",-0.923811433944627,1,4.35393258426966,0,"Female","13-18","Low"
"Social Media",-0.923811433944627,1,7.94943820224719,1,"Female","19-25","Low"
"Social Media",-0.923811433944627,1,3.53932584269663,0,"Male","13-18","Low"
"Social Media",-0.923811433944627,1,5.89887640449438,1,"Male","26-35","Low"
"Social Media",0.253518345933827,1.5,4.7752808988764,0,"Male","13-18","Low"
"Social Media",0.253518345933827,1.5,3.23033707865169,0,"Male","50+","Low"
"Social Media",-0.923811433944627,1,4.26966292134831,0,"Female","19-25","Low"
"Social Media",0.253518345933827,1.5,4.07303370786517,0,"Male","36-50","Low"
"Social Media",1.43084812581228,2,6.74157303370786,1,"Female","19-25","High"
"Social Media",0.253518345933827,1.5,4.46629213483146,0,"Male","13-18","Low"
"Social Media",-0.923811433944627,1,4.26966292134831,0,"Male","36-50","Low"
"Social Media",0.253518345933827,1.5,7.7247191011236,1,"Female","36-50","Low"
"Social Media",-0.923811433944627,1,4.91573033707865,0,"Female","19-25","Low"
"Social Media",-0.923811433944627,1,6.15168539325843,1,"Male","19-25","Low"
"Social Media",-0.923811433944627,1,1.51685393258427,0,"Male","36-50","Low"
"Social Media",0.253518345933827,1.5,3.03370786516854,0,"Female","26-35","Low"
"Social Media",0.253518345933827,1.5,4.52247191011236,0,"Female","19-25","Low"
"Social Media",-0.923811433944627,1,2.24719101123596,0,"Female","26-35","Low"
"Social Media",0.253518345933827,1.5,3.96067415730337,0,"Male","13-18","Low"
"Social Media",1.43084812581228,2,4.12921348314607,0,"Female","13-18","High"
"Social Media",-0.923811433944627,1,3.25842696629214,0,"Male","36-50","Low"
"Social Media",-0.923811433944627,1,4.60674157303371,0,"Male","13-18","Low"
"Social Media",-0.923811433944627,1,4.80337078651685,0,"Male","26-35","Low"
"Social Media",-0.923811433944627,1,4.12921348314607,0,"Male","19-25","Low"
"Social Media",-0.923811433944627,1,3.42696629213483,0,"Male","26-35","Low"
"Social Media",1.43084812581228,2,5.33707865168539,1,"Male","19-25","High"
"Social Media",-0.923811433944627,1,4.74719101123596,0,"Female","26-35","Low"
"Social Media",-0.923811433944627,1,5.19662921348315,1,"Female","19-25","Low"
"Social Media",-0.923811433944627,1,5.75842696629214,1,"Female","13-18","Low"
"Social Media",-0.923811433944627,1,3.98876404494382,0,"Female","50+","Low"
"Social Media",0.253518345933827,1.5,8.48314606741573,1,"Female","13-18","Low"
"Social Media",-0.923811433944627,1,5.02808988764045,1,"Female","19-25","Low"
"Social Media",-0.923811433944627,1,3.98876404494382,0,"Female","13-18","Low"
"Social Media",-0.923811433944627,1,5.58988764044944,1,"Male","26-35","Low"
"Social Media",0.253518345933827,1.5,4.35393258426966,0,"Female","13-18","Low"
"Social Media",-0.923811433944627,1,4.7752808988764,0,"Male","36-50","Low"
"Social Media",-0.923811433944627,1,5.89887640449438,1,"Female","26-35","Low"
"Social Media",-0.923811433944627,1,4.57865168539326,0,"Female","19-25","Low"
"Social Media",0.253518345933827,1.5,5.28089887640449,1,"Male","26-35","Low"
"Social Media",1.43084812581228,2,6.29213483146067,1,"Female","50+","High"
"Social Media",-0.923811433944627,1,2.80898876404494,0,"Female","26-35","Low"
"Social Media",-0.923811433944627,1,3.23033707865169,0,"Female","19-25","Low"
"Social Media",0.253518345933827,1.5,5.87078651685393,1,"Female","26-35","Low"
"Social Media",0.253518345933827,1.5,7.07865168539326,1,"Male","26-35","Low"
"Social Media",-0.923811433944627,1,5.87078651685393,1,"Male","13-18","Low"
"Social Media",-0.923811433944627,1,5.98314606741573,1,"Male","26-35","Low"
"Social Media",1.43084812581228,2,3.31460674157303,0,"Male","36-50","High"
"Social Media",1.43084812581228,2,6.74157303370786,1,"Female","26-35","High"
"Social Media",-0.923811433944627,1,5.36516853932584,1,"Female","26-35","Low"
"Social Media",-0.923811433944627,1,5.92696629213483,1,"Male","36-50","Low"
"Social Media",-0.923811433944627,1,5.1685393258427,1,"Male","19-25","Low"
"Social Media",0.253518345933827,1.5,5,1,"Female","19-25","Low"
"Social Media",0.253518345933827,1.5,5.78651685393258,1,"Female","26-35","Low"
"Social Media",0.253518345933827,1.5,4.41011235955056,0,"Male","26-35","Low"
"Social Media",1.43084812581228,2,4.24157303370786,0,"Male","26-35","High"
"Social Media",1.43084812581228,2,3.51123595505618,0,"Female","13-18","High"
"Social Media",-0.923811433944627,1,5.0561797752809,1,"Male","50+","Low"
"Social Media",-0.923811433944627,1,5.44943820224719,1,"Male","19-25","Low"
"Social Media",-0.923811433944627,1,4.18539325842697,0,"Female","26-35","Low"
"Social Media",0.253518345933827,1.5,4.10112359550562,0,"Female","19-25","Low"
"Social Media",0.253518345933827,1.5,2.19101123595506,0,"Male","19-25","Low"
"Social Media",0.253518345933827,1.5,6.09550561797753,1,"Male","26-35","Low"
"Social Media",0.253518345933827,1.5,5.39325842696629,1,"Female","19-25","Low"
"Social Media",-0.923811433944627,1,6.23595505617978,1,"Female","26-35","Low"
"Social Media",-0.923811433944627,1,5.87078651685393,1,"Female","13-18","Low"
"Social Media",-0.923811433944627,1,6.71348314606742,1,"Female","36-50","Low"
"Social Media",0.253518345933827,1.5,4.10112359550562,0,"Female","19-25","Low"
"Social Media",-0.923811433944627,1,3.53932584269663,0,"Male","26-35","Low"
"Social Media",0.253518345933827,1.5,3.93258426966292,0,"Female","19-25","Low"
"Social Media",1.43084812581228,2,4.97191011235955,0,"Male","19-25","High"
"Social Media",-0.923811433944627,1,3.73595505617978,0,"Female","13-18","Low"
"Social Media",0.253518345933827,1.5,5.28089887640449,1,"Female","26-35","Low"
"Social Media",0.253518345933827,1.5,5.14044943820225,1,"Female","36-50","Low"
"Social Media",0.253518345933827,1.5,3.28651685393258,0,"Female","19-25","Low"
"Social Media",2.60817790569074,2.5,5.47752808988764,1,"Female","13-18","High"
"Social Media",0.253518345933827,1.5,3.51123595505618,0,"Female","19-25","Low"
"Social Media",-0.923811433944627,1,4.52247191011236,0,"Male","36-50","Low"
"Social Media",2.60817790569074,2.5,4.63483146067416,0,"Male","19-25","High"
"Social Media",-0.923811433944627,1,3.84831460674157,0,"Male","36-50","Low"
"Social Media",-0.923811433944627,1,4.24157303370786,0,"Female","36-50","Low"
"Social Media",3.78550768556919,3,3.76404494382022,0,"Male","19-25","High"
"Social Media",0.253518345933827,1.5,4.97191011235955,0,"Male","13-18","Low"
"Social Media",-0.923811433944627,1,6.29213483146067,1,"Male","36-50","Low"
"Social Media",-0.923811433944627,1,5.92696629213483,1,"Male","19-25","Low"
"Social Media",0.253518345933827,1.5,6.34831460674157,1,"Female","50+","Low"
"Social Media",-0.923811433944627,1,4.52247191011236,0,"Female","26-35","Low"
"Social Media",-0.923811433944627,1,6.46067415730337,1,"Female","50+","Low"
"Social Media",0.253518345933827,1.5,5.70224719101124,1,"Female","19-25","Low"
"Social Media",-0.923811433944627,1,5.47752808988764,1,"Male","36-50","Low"
"Social Media",-0.923811433944627,1,5.98314606741573,1,"Male","19-25","Low"
"Social Media",-0.923811433944627,1,4.26966292134831,0,"Male","26-35","Low"
"Social Media",-0.923811433944627,1,6.68539325842697,1,"Male","50+","Low"
"Social Media",0.253518345933827,1.5,5.89887640449438,1,"Male","19-25","Low"
"Social Media",0.253518345933827,1.5,6.06741573033708,1,"Female","13-18","Low"
"Social Media",0.253518345933827,1.5,3.48314606741573,0,"Male","13-18","Low"
"Social Media",0.253518345933827,1.5,4.71910112359551,0,"Male","19-25","Low"
"Social Media",0.253518345933827,1.5,3.48314606741573,0,"Female","26-35","Low"
"Social Media",-0.923811433944627,1,5.47752808988764,1,"Female","19-25","Low"
"Social Media",-0.923811433944627,1,4.55056179775281,0,"Female","19-25","Low"
"Social Media",0.253518345933827,1.5,3.76404494382022,0,"Female","26-35","Low"
"Social Media",1.43084812581228,2,4.52247191011236,0,"Male","19-25","High"
"Social Media",-0.923811433944627,1,4.69101123595506,0,"Male","26-35","Low"
"Social Media",0.253518345933827,1.5,4.01685393258427,0,"Male","13-18","Low"
"Social Media",-0.923811433944627,1,4.80337078651685,0,"Female","26-35","Low"
"Social Media",0.253518345933827,1.5,5.70224719101124,1,"Male","50+","Low"
"Social Media",1.43084812581228,2,3.87640449438202,0,"Male","19-25","High"
"Social Media",0.253518345933827,1.5,3.73595505617978,0,"Male","19-25","Low"
"Social Media",-0.923811433944627,1,6.46067415730337,1,"Female","19-25","Low"
"Social Media",0.253518345933827,1.5,4.9438202247191,0,"Female","26-35","Low"
"Social Media",-0.923811433944627,1,5.02808988764045,1,"Female","19-25","Low"
"Social Media",-0.923811433944627,1,4.8876404494382,0,"Male","19-25","Low"
"Social Media",0.253518345933827,1.5,3.39887640449438,0,"Female","26-35","Low"
"Social Media",-0.923811433944627,1,6.12359550561798,1,"Male","19-25","Low"
"Social Media",-0.923811433944627,1,6.48876404494382,1,"Male","13-18","Low"
"Social Media",-0.923811433944627,1,4.41011235955056,0,"Male","19-25","Low"
"Social Media",-0.923811433944627,1,4.9438202247191,0,"Female","36-50","Low"
"Social Media",-0.923811433944627,1,4.8314606741573,0,"Female","26-35","Low"
"Social Media",-0.923811433944627,1,3.20224719101124,0,"Male","36-50","Low"
"Social Media",0.253518345933827,1.5,6.03932584269663,1,"Female","36-50","Low"
"Social Media",2.60817790569074,2.5,1.88202247191011,0,"Male","13-18","High"
"Social Media",2.60817790569074,2.5,6.03932584269663,1,"Female","26-35","High"
"Social Media",0.253518345933827,1.5,3.73595505617978,0,"Male","19-25","Low"
"Social Media",0.253518345933827,1.5,5.70224719101124,1,"Male","26-35","Low"
"Social Media",0.253518345933827,1.5,3.90449438202247,0,"Female","36-50","Low"
"Social Media",0.253518345933827,1.5,7.07865168539326,1,"Male","26-35","Low"
"Social Media",1.43084812581228,2,4.57865168539326,0,"Female","13-18","High"
"Social Media",0.253518345933827,1.5,5.28089887640449,1,"Male","26-35","Low"
"Social Media",1.43084812581228,2,2.07865168539326,0,"Female","19-25","High"
"Social Media",0.253518345933827,1.5,5.73033707865168,1,"Male","19-25","Low"
"Social Media",0.253518345933827,1.5,5.25280898876404,1,"Male","19-25","Low"
"Social Media",0.253518345933827,1.5,3.62359550561798,0,"Female","26-35","Low"
"Social Media",3.78550768556919,3,6.76966292134832,1,"Female","19-25","High"
"Social Media",0.253518345933827,1.5,4.49438202247191,0,"Male","26-35","Low"
"Social Media",-0.923811433944627,1,6.51685393258427,1,"Male","13-18","Low"
"Social Media",0.253518345933827,1.5,5.61797752808989,1,"Female","19-25","Low"
"Social Media",0.253518345933827,1.5,5.89887640449438,1,"Male","36-50","Low"
"Social Media",0.253518345933827,1.5,5.75842696629214,1,"Male","19-25","Low"
"Social Media",-0.923811433944627,1,2.3876404494382,0,"Female","13-18","Low"
"Social Media",1.43084812581228,2,7.80898876404494,1,"Male","36-50","High"
"Social Media",0.253518345933827,1.5,5.02808988764045,1,"Male","19-25","Low"
"Social Media",-0.923811433944627,1,4.91573033707865,0,"Female","50+","Low"
"Social Media",1.43084812581228,2,5.1685393258427,1,"Female","19-25","High"
"Social Media",-0.923811433944627,1,4.21348314606742,0,"Female","19-25","Low"
"Social Media",0.253518345933827,1.5,4.32584269662921,0,"Female","26-35","Low"
"Social Media",-0.923811433944627,1,4.60674157303371,0,"Male","19-25","Low"
"Social Media",0.253518345933827,1.5,4.60674157303371,0,"Male","36-50","Low"
"Social Media",-0.923811433944627,1,3.45505617977528,0,"Male","19-25","Low"
"Social Media",-0.923811433944627,1,5.84269662921348,1,"Male","13-18","Low"
"Social Media",-0.923811433944627,1,4.69101123595506,0,"Female","19-25","Low"
"Social Media",-0.923811433944627,1,5.84269662921348,1,"Female","19-25","Low"
"Social Media",0.253518345933827,1.5,3.37078651685393,0,"Male","36-50","Low"
"Social Media",-0.923811433944627,1,7.5561797752809,1,"Female","26-35","Low"
"Social Media",-0.923811433944627,1,5.28089887640449,1,"Female","36-50","Low"
"Social Media",0.253518345933827,1.5,2.4438202247191,0,"Female","13-18","Low"
"Social Media",-0.923811433944627,1,5.33707865168539,1,"Female","36-50","Low"
"Social Media",-0.923811433944627,1,6.51685393258427,1,"Male","19-25","Low"
"Social Media",0.253518345933827,1.5,6.60112359550562,1,"Female","26-35","Low"
